"x","cdf","gamma","gamma_label","p0"
-4.78666666666667,0.178632087102285,-1.01769180900079,"gamma = -1.018",0.6
-4.77333333333333,0.179439630411887,-1.01769180900079,"gamma = -1.018",0.6
-4.76,0.180249750976356,-1.01769180900079,"gamma = -1.018",0.6
-4.74666666666667,0.181062450649687,-1.01769180900079,"gamma = -1.018",0.6
-4.73333333333333,0.181877731244948,-1.01769180900079,"gamma = -1.018",0.6
-4.72,0.182695594533982,-1.01769180900079,"gamma = -1.018",0.6
-4.70666666666667,0.183516042247115,-1.01769180900079,"gamma = -1.018",0.6
-4.69333333333333,0.184339076072862,-1.01769180900079,"gamma = -1.018",0.6
-4.68,0.185164697657629,-1.01769180900079,"gamma = -1.018",0.6
-4.66666666666667,0.185992908605414,-1.01769180900079,"gamma = -1.018",0.6
-4.65333333333333,0.186823710477512,-1.01769180900079,"gamma = -1.018",0.6
-4.64,0.187657104792215,-1.01769180900079,"gamma = -1.018",0.6
-4.62666666666667,0.188493093024506,-1.01769180900079,"gamma = -1.018",0.6
-4.61333333333333,0.189331676605764,-1.01769180900079,"gamma = -1.018",0.6
-4.6,0.190172856923454,-1.01769180900079,"gamma = -1.018",0.6
-4.58666666666667,0.191016635320826,-1.01769180900079,"gamma = -1.018",0.6
-4.57333333333333,0.191863013096608,-1.01769180900079,"gamma = -1.018",0.6
-4.56,0.192711991504698,-1.01769180900079,"gamma = -1.018",0.6
-4.54666666666667,0.193563571753858,-1.01769180900079,"gamma = -1.018",0.6
-4.53333333333333,0.194417755007398,-1.01769180900079,"gamma = -1.018",0.6
-4.52,0.195274542382874,-1.01769180900079,"gamma = -1.018",0.6
-4.50666666666667,0.196133934951767,-1.01769180900079,"gamma = -1.018",0.6
-4.49333333333333,0.196995933739173,-1.01769180900079,"gamma = -1.018",0.6
-4.48,0.19786053972349,-1.01769180900079,"gamma = -1.018",0.6
-4.46666666666667,0.198727753836095,-1.01769180900079,"gamma = -1.018",0.6
-4.45333333333333,0.199597576961033,-1.01769180900079,"gamma = -1.018",0.6
-4.44,0.200470009934694,-1.01769180900079,"gamma = -1.018",0.6
-4.42666666666667,0.201345053545493,-1.01769180900079,"gamma = -1.018",0.6
-4.41333333333333,0.202222708533548,-1.01769180900079,"gamma = -1.018",0.6
-4.4,0.203102975590357,-1.01769180900079,"gamma = -1.018",0.6
-4.38666666666667,0.203985855358473,-1.01769180900079,"gamma = -1.018",0.6
-4.37333333333333,0.204871348431176,-1.01769180900079,"gamma = -1.018",0.6
-4.36,0.205759455352148,-1.01769180900079,"gamma = -1.018",0.6
-4.34666666666667,0.206650176615143,-1.01769180900079,"gamma = -1.018",0.6
-4.33333333333333,0.207543512663653,-1.01769180900079,"gamma = -1.018",0.6
-4.32,0.20843946389058,-1.01769180900079,"gamma = -1.018",0.6
-4.30666666666667,0.209338030637901,-1.01769180900079,"gamma = -1.018",0.6
-4.29333333333333,0.210239213196332,-1.01769180900079,"gamma = -1.018",0.6
-4.28,0.211143011804991,-1.01769180900079,"gamma = -1.018",0.6
-4.26666666666667,0.212049426651061,-1.01769180900079,"gamma = -1.018",0.6
-4.25333333333333,0.212958457869447,-1.01769180900079,"gamma = -1.018",0.6
-4.24,0.213870105542439,-1.01769180900079,"gamma = -1.018",0.6
-4.22666666666667,0.214784369699366,-1.01769180900079,"gamma = -1.018",0.6
-4.21333333333333,0.215701250316251,-1.01769180900079,"gamma = -1.018",0.6
-4.2,0.216620747315465,-1.01769180900079,"gamma = -1.018",0.6
-4.18666666666667,0.21754286056538,-1.01769180900079,"gamma = -1.018",0.6
-4.17333333333333,0.218467589880019,-1.01769180900079,"gamma = -1.018",0.6
-4.16,0.219394935018701,-1.01769180900079,"gamma = -1.018",0.6
-4.14666666666667,0.220324895685695,-1.01769180900079,"gamma = -1.018",0.6
